Comprehensive List of Indian Universities Offering,,,,
,PhD Programs (Branch-wise),,,
University of Mysore,PhD Biotechnology,Microbial Biotechnology,NET,https://uni-mysore.ac.in
Savitribai Phule Pune University,PhD Biotechnology,Biochemical Engineering,NET,https://www.unipune.ac.in
Kerala University,PhD Biotechnology,Proteomics,NET,https://www.keralauniversity.ac.in
Amrita Vishwa Vidyapeetham,PhD Biotechnology,Medical Biotechnology,University Entrance,https://www.amrita.edu
SRM Institute,PhD Biotechnology,Genetic Engineering,SRM Entrance,https://www.srmist.edu.in
VIT University,PhD Biotechnology,Systems Biology,VITREE,https://vit.ac.in
Gujarat Biotechnology University,PhD Biotechnology,Genomics,Entrance,https://gbu.edu.in
Bioinformatics (PhD),,,,
University / Institute,Program,Major Specialisation,Qualifying Exam,Official Website
Pondicherry University,PhD Bioinformatics,Structural Bioinformatics,NET,https://www.pondiuni.edu.in
University of Hyderabad,PhD Bioinformatics,Computational Biology,NET,https://www.uohyd.ac.in
Savitribai Phule Pune University,PhD Bioinformatics,Systems Biology,NET,https://www.unipune.ac.in
Bharathiar University,PhD Bioinformatics,Genomics,NET,https://www.b-u.ac.in
Amrita Vishwa Vidyapeetham,PhD Bioinformatics,Proteomics,NET,https://www.amrita.edu
Anna University,PhD Bioinformatics,Biomedical Data Science,GATE/NET,https://www.annauniv.edu
Jamia Millia Islamia,PhD Bioinformatics,Genomics,NET,https://www.jmi.ac.in
University of Kerala,PhD Bioinformatics,Proteomics,NET,https://www.keralauniversity.ac.in
Alagappa University,PhD Bioinformatics,Computational Biology,NET,https://www.alagappauniversity.ac.in
University of Madras,PhD Bioinformatics,Structural Biology,NET,https://www.unom.ac.in
JNU,PhD Bioinformatics,Structural Bioinformatics,NET,https://www.jnu.ac.in
SRM Institute,PhD Bioinformatics,Genomics,SRM Entrance,https://www.srmist.edu.in
VIT University,PhD Bioinformatics,Computational Genomics,VITREE,https://vit.ac.in
Manipal University,PhD Bioinformatics,Systems Biology,University Entrance,https://manipal.edu
Bioengineering / Nanotechnology (PhD),,,,
University / Institute,Program,Major Specialisation,Qualifying Exam,Official Website
IISc Bangalore,PhD Bioengineering,Biomedical Devices,GATE/NET/JGEEBILS,https://www.iisc.ac.in
IIT Bombay,PhD Nanotechnology,Nanomaterials,GATE,https://www.iitb.ac.in
IIT Hyderabad,PhD Nanotechnology,Nanoelectronics,GATE,https://www.iith.ac.in
IIT Delhi,PhD Nanoscience,Nanobiotechnology,GATE,https://home.iitd.ac.in
IIT Madras,PhD Nanotechnology,Nanomedicine,GATE,https://www.iitm.ac.in
Anna University,PhD Nanoscience,Nanomaterials,GATE/NET,https://www.annauniv.edu
SRM Institute,PhD Nanotechnology,Nanomedicine,SRM Entrance,https://www.srmist.edu.in
VIT University,PhD Nanotechnology,Nanoelectronics,VITREE,https://vit.ac.in
Manipal Institute of Technology,PhD Nanotechnology,Nanomaterials,University Entrance,https://manipal.edu
Amity University,PhD Nanotechnology,Nanophotonics,Entrance,https://www.amity.edu
Jadavpur University,PhD Nanoscience,Nanomaterials,NET/GATE,https://www.jaduniv.edu.in
University of Hyderabad,PhD Nanoscience,Nanobiotechnology,NET,https://www.uohyd.ac.in
Chemistry (PhD),,,,
University / Institute,Program,Major Specialisation,Qualifying Exam,Official Website
IISc Bangalore,PhD Chemistry,Materials Chemistry,CSIR NET,https://www.iisc.ac.in
IIT Bombay,PhD Chemistry,Organic Chemistry,CSIR NET/GATE,https://www.iitb.ac.in
IIT Kanpur,PhD Chemistry,Physical Chemistry,CSIR NET,https://www.iitk.ac.in
IIT Madras,PhD Chemistry,Theoretical Chemistry,CSIR NET,https://www.iitm.ac.in
IIT Delhi,PhD Chemistry,Inorganic Chemistry,CSIR NET,https://home.iitd.ac.in
Banaras Hindu University,PhD Chemistry,Analytical Chemistry,CSIR NET,https://www.bhu.ac.in
Delhi University,PhD Chemistry,Organic Chemistry,CSIR NET,https://www.du.ac.in
University of Hyderabad,PhD Chemistry,Materials Chemistry,CSIR NET,https://www.uohyd.ac.in
Savitribai Phule Pune University,PhD Chemistry,Polymer Chemistry,NET,https://www.unipune.ac.in
Jadavpur University,PhD Chemistry,Applied Chemistry,NET,https://www.jaduniv.edu.in
Aligarh Muslim University,PhD Chemistry,Inorganic Chemistry,NET,https://www.amu.ac.in
University of Madras,PhD Chemistry,Organic Chemistry,NET,https://www.unom.ac.in
Bharathiar University,PhD Chemistry,Analytical Chemistry,NET,https://www.b-u.ac.in
Kerala University,PhD Chemistry,Physical Chemistry,NET,https://www.keralauniversity.ac.in
Osmania University,PhD Chemistry,Organic Chemistry,NET,https://www.osmania.ac.in
